center,chi,tau_int,flip_rate,omega_mean_window,omega_var_window
1000,153.97469401359558,484.8382349262448,0.0010005002501250625,0.16501065,0.513249
1660,146.00749611854553,616.6031443515468,0.0005002501250625312,-0.23422225,0.48669165
2320,6.6138653084635735,104.32781695315543,0.0005002501250625312,-0.7273305,0.022046218
2980,0.5559015437029302,34.73324633141968,0.0,-0.75187176,0.0018530051
3640,0.6576487328857183,61.56653888644033,0.0,-0.7573745,0.0021921624
4300,0.812582834623754,63.69247104223894,0.0,-0.7525013,0.0027086094
4960,0.9632473345845938,66.13997437109934,0.0,-0.74883354,0.0032108244
5620,1.1262101819738746,54.54888604596324,0.0,-0.74578416,0.003754034
6280,1.1514846235513687,95.35321975005252,0.0,-0.75965697,0.003838282
6940,0.9524342603981495,106.39377416235712,0.0,-0.77946824,0.0031747809
7600,0.5518443183973432,91.57334986128122,0.0,-0.7891926,0.0018394811
8260,131.01128339767456,524.5103092058434,0.0005002501250625312,-0.37367326,0.43670428
8920,156.7347764968872,653.218317537265,0.0005002501250625312,0.12910327,0.52244925
9580,35.61206012964249,164.0814961049486,0.0005002501250625312,0.63678837,0.11870687
10240,0.8370729396119714,118.39816563960449,0.0,0.7456841,0.0027902431
10900,0.6174406735226512,127.2525394065552,0.0,0.7680138,0.0020581356
11560,0.38935253396630287,55.67879959931317,0.0,0.77695274,0.0012978418
12220,0.5567433312535286,93.57315456912124,0.0,0.77987236,0.0018558111
12880,0.7138910237699747,95.43857508182333,0.0,0.77784204,0.0023796367
13540,0.8559783920645714,155.01351578224887,0.0,0.79194957,0.0028532613
14200,1.042242581024766,213.51230763196372,0.0,0.7857919,0.003474142
14860,1.1196659412235022,189.28662567641544,0.0,0.7816629,0.0037322198
15520,1.171377394348383,135.13218813729947,0.0,0.7615226,0.0039045913
16180,0.9803728898987174,119.56213327082375,0.0,0.7755846,0.0032679096
16840,45.535486936569214,162.28199703896672,0.0005002501250625312,0.66014993,0.15178496
17500,170.21756172180176,653.4130251316652,0.0005002501250625312,0.1534501,0.5673919
18160,133.42690765857697,504.85921157158043,0.0005002501250625312,-0.36069846,0.44475636
18820,0.766550051048398,85.72615946036757,0.0,-0.76803666,0.0025551668
19480,0.7560713449493051,69.27403629660269,0.0,-0.7619631,0.0025202378
20140,0.8673479547724128,77.68702217243839,0.0,-0.77430946,0.0028911598
20800,1.5341436490416527,73.31693339316529,0.0,-0.7757778,0.005113812
21460,1.3305493164807558,73.45028139656141,0.0,-0.7913117,0.0044351644
22120,1.2823470868170261,71.58501110767672,0.0,-0.7830602,0.0042744903
22780,0.4868656396865845,83.09049239826122,0.0,-0.7903611,0.0016228855
23440,0.9374734712764621,146.42361198958446,0.0,-0.7658322,0.0031249116
24100,1.6219234094023705,179.59029690773696,0.0,-0.7436709,0.0054064114
24760,1.557364035397768,69.69960082973219,0.0,-0.72670156,0.0051912135
25420,1.632154081016779,82.49595364494391,0.0,-0.738961,0.0054405136
26080,1.3901259284466505,88.56978173865046,0.0,-0.76190144,0.004633753
26740,1.5289375092834234,62.78991300990147,0.0,-0.7627941,0.0050964584
27400,1.4898000285029411,57.457759834203706,0.0,-0.7642212,0.004966
28060,22.17949479818344,141.1083135880629,0.002001000500250125,-0.6771045,0.07393165
28720,22.13451638817787,144.5819095395928,0.002001000500250125,-0.68345374,0.07378172
29380,21.673458069562912,142.79076487815274,0.002001000500250125,-0.674088,0.07224486
30040,0.7461540168151259,76.80196880789781,0.0,-0.7584403,0.00248718
30700,0.7814706768840551,227.9372426536193,0.0,-0.7760139,0.0026049023
31360,0.7989956298843026,174.42852283991044,0.0,-0.78099936,0.0026633188
32020,127.10723876953125,455.87562397253424,0.0005002501250625312,-0.41978955,0.4236908
32680,170.27299404144287,671.0300450679533,0.0005002501250625312,0.10228421,0.56757665
33340,64.6502137184143,236.1253453296828,0.0005002501250625312,0.62047476,0.21550071
34000,1.037697633728385,92.48346972393752,0.0,0.7760559,0.003458992
34660,1.3512169942259789,95.96168856145454,0.0,0.76275694,0.0045040566
35320,14.82430323958397,85.36200796148724,0.0010005002501250625,0.70197695,0.049414344
35980,14.964446425437927,88.26528457887515,0.0010005002501250625,0.71333396,0.049881488
36640,14.868944138288498,90.33110355977917,0.0010005002501250625,0.7190844,0.049563147
37300,2.055087313055992,143.5322505687164,0.0,0.74797815,0.006850291
37960,2.055911673232913,138.04163691688655,0.0,0.7477687,0.006853039
38620,2.065039426088333,137.75371182017955,0.0,0.74868923,0.0068834648
39280,0.6923761451616883,58.94771081959438,0.0,0.77634925,0.0023079205
39940,0.6874731509014964,59.82436103306694,0.0,0.77479166,0.0022915772
40600,0.4045266774483025,44.461857225460996,0.0,0.7855417,0.0013484223
41260,0.9587536565959454,65.63239924106973,0.0,0.7715752,0.0031958455
41920,164.2555832862854,586.5783178793205,0.0015007503751875938,0.25270176,0.5475186
42580,159.22765731811523,591.7035221334128,0.0015007503751875938,-0.25189683,0.53075886
43240,8.51663164794445,56.67807572211258,0.0015007503751875938,-0.73950464,0.028388772
43900,1.086041727103293,76.25973214791031,0.0,-0.75270987,0.003620139
44560,1.4495452400296926,119.07801727909293,0.0,-0.7622061,0.0048318175
45220,1.1091401567682624,102.22779100145578,0.0,-0.7802107,0.0036971339
45880,1.1240478605031967,107.38478150885184,0.0,-0.7791973,0.0037468262
46540,1.184741361066699,114.9879999695981,0.0,-0.7610294,0.003949138
47200,1.1849785689264536,104.51276195522416,0.0,-0.7504227,0.0039499286
47860,1.2378870975226164,62.166019454015164,0.0,-0.73137665,0.0041262903
48520,1.0965664638206363,80.38135213541666,0.0,-0.755504,0.0036552215
49180,1.1122954543679953,139.67059626940227,0.0,-0.7738114,0.0037076515
49840,0.5594495334662497,57.37783702581023,0.0,-0.80035496,0.0018648318
50500,0.7033508503809571,60.00285443285774,0.0,-0.8013917,0.0023445028
51160,0.6763660814613104,63.965769599962854,0.0,-0.7970657,0.0022545536
51820,0.7699635112658143,71.0355010190376,0.0,-0.7797882,0.002566545
52480,0.6010949146002531,95.5118756670242,0.0,-0.7827503,0.0020036497
53140,0.6912548560649157,90.5451543654337,0.0,-0.77487063,0.0023041829
53800,0.7826926186680794,81.86251676107611,0.0,-0.7753082,0.0026089754
54460,0.9481402114033699,67.5892152875508,0.0,-0.75604844,0.0031604674
55120,0.9974373271688819,114.67475681892344,0.0,-0.76844543,0.003324791
55780,1.270817220211029,133.19046010063715,0.0,-0.7615962,0.0042360574
56440,2.2429668344557285,141.7918683974321,0.0,-0.74476844,0.007476556
57100,2.222541393712163,117.80250591732211,0.0,-0.73535395,0.0074084713
57760,2.21772906370461,123.34174498040417,0.0,-0.75140136,0.00739243
58420,1.3979160692542791,94.59856052007224,0.0,-0.7711731,0.00465972
59080,1.1384011013433337,90.76245804158182,0.0,-0.7717412,0.0037946703
59740,1.1438021203503013,94.13673287911057,0.0,-0.7606559,0.0038126737
60400,0.6495309993624687,53.83203591012854,0.0,-0.76949584,0.0021651033
61060,0.6973039358854294,53.943118565171766,0.0,-0.7668906,0.0023243465
61720,0.5657119676470757,41.7114164907441,0.0,-0.77426744,0.0018857066
62380,19.555800408124924,73.84162392231613,0.0015007503751875938,-0.7286811,0.065186
63040,167.12533235549927,605.23215871107,0.0015007503751875938,-0.21549548,0.55708444
63700,158.60356092453003,554.5715656905234,0.0015007503751875938,0.30223545,0.52867854
64360,0.38871809374541044,52.582573511853354,0.0,0.79689294,0.001295727
65020,0.7824803469702601,116.129364752572,0.0,0.792412,0.0026082678
65680,0.8755611721426249,90.14047125662358,0.0,0.7908213,0.0029185372
66340,0.9474503807723522,106.3372794901475,0.0,0.79192775,0.003158168
67000,0.649064127355814,89.93469316686706,0.0,0.79617393,0.002163547
67660,0.6902812281623483,90.12209506366034,0.0,0.78879446,0.0023009374
68320,0.809809542261064,68.48489070865338,0.0,0.78116614,0.0026993651
68980,0.8731229463592172,101.88022152178532,0.0,0.77793175,0.0029104098
69640,1.1323103914037347,164.26311501173305,0.0,0.7739127,0.003774368
70300,1.0078901890665293,147.46089315898854,0.0,0.76583844,0.003359634
70960,1.3010927941650152,77.14642438367689,0.0,0.75852454,0.004336976
71620,1.1241241358220577,59.70660707139149,0.0,0.746738,0.0037470805
72280,1.1594536481425166,83.83579234190562,0.0,0.7560373,0.0038648455
72940,1.1659878306090832,149.25417647007154,0.0,0.753794,0.003886626
73600,1.2336772866547108,198.42549567070677,0.0,0.76418436,0.0041122576
74260,1.2403381057083607,173.4431358741063,0.0,0.76479197,0.0041344604
74920,1.6504876781255007,140.25865954026898,0.0,0.75407094,0.0055016256
75580,1.598274428397417,162.67301186880417,0.0,0.7709856,0.0053275814
76240,1.787725416943431,135.1615910818083,0.0,0.7583652,0.0059590847
76900,0.9359123418107629,93.63130252889397,0.0,0.7868976,0.0031197078
77560,0.9683503769338131,167.34250250257753,0.0,0.7920387,0.0032278346
78220,0.6946053123101592,112.38622745436558,0.0,0.79958487,0.002315351
78880,2.2347367834299803,157.9399200096272,0.0,0.7696948,0.0074491226
79540,2.076763194054365,103.51440505997064,0.0,0.75126445,0.006922544
80200,2.0109892822802067,91.7210129018649,0.0,0.7456185,0.0067032976
80860,0.7910814369097352,66.0321521875084,0.0,0.76403105,0.0026369381
81520,0.6476443726569414,64.13114169773023,0.0,0.76972497,0.0021588146
82180,0.5632949410937726,70.24476650304787,0.0,0.78011155,0.0018776498
82840,0.6834832252934575,70.12223259777919,0.0,0.77386725,0.0022782774
83500,0.6535325897857547,78.5465728790322,0.0,0.778472,0.002178442
84160,0.6976860808208585,77.90822305550196,0.0,0.76992434,0.0023256203
84820,0.6878721993416548,72.60850160553593,0.0,0.7798839,0.0022929073
85480,0.7836841279640794,97.94670869580294,0.0,0.78640294,0.0026122804
86140,0.5436187377199531,77.90995285984445,0.0,0.8078865,0.0018120625
86800,0.3877731040120125,67.30243221554754,0.0,0.8110444,0.001292577
87460,0.8479395182803273,154.39480168033705,0.0,0.7923241,0.002826465
88120,0.7629327708855271,55.95678232377561,0.0,0.78040016,0.0025431092
88780,0.7216410711407661,49.10838632637873,0.0,0.77235854,0.0024054702
89440,121.8483030796051,438.1805743040619,0.0005002501250625312,0.4278664,0.406161
90100,173.21641445159912,666.8835954818359,0.0005002501250625312,-0.08909442,0.57738805
90760,67.1161875128746,225.99841034821503,0.0005002501250625312,-0.58891577,0.22372063
91420,1.2060825247317553,62.35496380560734,0.0,-0.75522494,0.004020275
92080,1.1903160251677036,61.78627374085844,0.0,-0.75310916,0.00396772
92740,1.4678006060421467,87.98287696645143,0.0,-0.7544509,0.0048926687
93400,1.2315211817622185,99.31216465966224,0.0,-0.7630112,0.0041050706
94060,1.1956249829381704,103.91495502367381,0.0,-0.76326746,0.0039854166
94720,0.8536459179595113,82.65479722424486,0.0,-0.77708584,0.0028454864
95380,0.7205133559182286,56.36646115145272,0.0,-0.77964294,0.0024017112
96040,0.7622648030519485,62.85835510508099,0.0,-0.78826195,0.0025408827
96700,0.62872557900846,83.15295510600396,0.0,-0.79328185,0.002095752
97360,0.9596841176971793,163.76398254582335,0.0,-0.78333545,0.003198947
