path,N,percept_kappa,option_kappa,rep,seed,level,individual,kind,threshold,series_mean,series_std,flight_count,n_positive_flights,comparison_ok,comparison_error,comparison_summary,best_model,fixed_xmin_for_comparison,truncated_ok,truncated_error,truncated_model,truncated_xmin,truncated_alpha,truncated_xc,truncated_p_value,truncated_ks_D,truncated_aic,truncated_bic,truncated_loglik,truncated_n_used,shifted_exp_ok,shifted_exp_error,shifted_exp_model,shifted_exp_xmin,shifted_exp_alpha,shifted_exp_xc,shifted_exp_p_value,shifted_exp_ks_D,shifted_exp_aic,shifted_exp_bic,shifted_exp_loglik,shifted_exp_n_used,delta_aic_trunc_minus_exp
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,com,-1,com,0.8628919959068299,0.6262726187705994,0.7618880867958069,1450,1450,True,,"Model comparison
----------------
truncated: xmin=3.39427, alpha=1.47989, xc=1161.79, p=nan, KS=0.0261277, loglik=-2363.89, AIC=4729.79, BIC=4734.07
powerlaw: xmin=3.39427, alpha=1.58611, xc=nan, p=nan, KS=0.0607848, loglik=-2387.43, AIC=4776.85, BIC=4781.14
shifted_exp: xmin=3.39427, alpha=0.0193928, xc=nan, p=nan, KS=0.333182, loglik=-2644.43, AIC=5290.85, BIC=5295.14

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 47.0634 ΔBIC = 47.0634
shifted_exp: ΔAIC = 561.065 ΔBIC = 561.065
",truncated,3.394271731376648,True,,truncated,3.394271731376648,1.4798921243014609,1161.7918894290924,,0.026127720474984517,4729.789453591222,4734.071720338118,-2363.894726795611,535,True,,shifted_exp,3.394271731376648,0.01939277821593739,,,0.33318219182175335,5290.854356867069,5295.136623613966,-2644.4271784335347,535,-561.0649032758474
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep01_seed10000001.npz,100,2.5,3.0,1,10000001,com,-1,com,0.9247515797615053,0.6682870984077454,0.8253280520439148,1187,1187,True,,"Model comparison
----------------
truncated: xmin=3.02298, alpha=1.48514, xc=1139.33, p=nan, KS=0.0314406, loglik=-2369.27, AIC=4740.55, BIC=4744.86
powerlaw: xmin=3.02298, alpha=1.5856, xc=nan, p=nan, KS=0.0591254, loglik=-2391.96, AIC=4785.93, BIC=4790.24
shifted_exp: xmin=3.02298, alpha=0.0175729, xc=nan, p=nan, KS=0.373906, loglik=-2772.77, AIC=5547.54, BIC=5551.85

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 45.3783 ΔBIC = 45.3783
shifted_exp: ΔAIC = 806.989 ΔBIC = 806.989
",truncated,3.022984504699707,True,,truncated,3.022984504699707,1.485139126481405,1139.334959089756,,0.03144059501436079,4740.548620537398,4744.858538815624,-2369.274310268699,550,True,,shifted_exp,3.022984504699707,0.01757288843936667,,,0.3739063332666668,5547.537793621064,5551.8477118992905,-2772.768896810532,550,-806.9891730836662
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep02_seed10000002.npz,100,2.5,3.0,2,10000002,com,-1,com,0.853945404291153,0.6248661875724792,0.7400766015052795,1583,1583,True,,"Model comparison
----------------
truncated: xmin=3.95272, alpha=1.52109, xc=1091.37, p=nan, KS=0.0242277, loglik=-2208.18, AIC=4418.36, BIC=4422.57
powerlaw: xmin=3.95272, alpha=1.62436, xc=nan, p=nan, KS=0.058716, loglik=-2227.98, AIC=4457.97, BIC=4462.19
shifted_exp: xmin=3.95272, alpha=0.0191456, xc=nan, p=nan, KS=0.335543, loglik=-2482.8, AIC=4967.59, BIC=4971.81

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 39.6118 ΔBIC = 39.6118
shifted_exp: ΔAIC = 549.237 ΔBIC = 549.237
",truncated,3.952722907066345,True,,truncated,3.952722907066345,1.5210861964876137,1091.3729587197304,,0.024227745446198767,4418.357163281274,4422.5737693823585,-2208.178581640637,501,True,,shifted_exp,3.952722907066345,0.01914560007495796,,,0.3355425310975555,4967.593715555115,4971.810321656199,-2482.7968577775573,501,-549.236552273841
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep03_seed10000003.npz,100,2.5,3.0,3,10000003,com,-1,com,0.8198623895645142,0.5825017094612122,0.6626837849617004,1888,1888,True,,"Model comparison
----------------
truncated: xmin=3.34404, alpha=1.62353, xc=1026.71, p=nan, KS=0.0307969, loglik=-2634.51, AIC=5271.03, BIC=5275.52
powerlaw: xmin=3.34404, alpha=1.69541, xc=nan, p=nan, KS=0.0538949, loglik=-2649.58, AIC=5301.16, BIC=5305.65
shifted_exp: xmin=3.34404, alpha=0.0292795, xc=nan, p=nan, KS=0.328209, loglik=-2994.9, AIC=5991.81, BIC=5996.3

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 30.1314 ΔBIC = 30.1314
shifted_exp: ΔAIC = 720.779 ΔBIC = 720.779
",truncated,3.3440372347831726,True,,truncated,3.3440372347831726,1.62353340430006,1026.7125068306923,,0.030796892320908098,5271.0265427596705,5275.520296599522,-2634.5132713798353,661,True,,shifted_exp,3.3440372347831726,0.02927953167603608,,,0.32820899212827637,5991.8056249573265,5996.299378797178,-2994.9028124786632,661,-720.779082197656
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep04_seed10000004.npz,100,2.5,3.0,4,10000004,com,-1,com,0.9185685575008397,0.6539078950881958,0.7886363863945007,1270,1270,True,,"Model comparison
----------------
truncated: xmin=3.1127, alpha=1.45579, xc=1210.19, p=nan, KS=0.0262063, loglik=-2323.08, AIC=4648.15, BIC=4652.42
powerlaw: xmin=3.1127, alpha=1.56416, xc=nan, p=nan, KS=0.0606316, loglik=-2347.75, AIC=4697.49, BIC=4701.75
shifted_exp: xmin=3.1127, alpha=0.0175873, xc=nan, p=nan, KS=0.35609, loglik=-2641.26, AIC=5284.53, BIC=5288.79

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 49.3365 ΔBIC = 49.3365
shifted_exp: ΔAIC = 636.371 ΔBIC = 636.371
",truncated,3.1126983761787415,True,,truncated,3.1126983761787415,1.455788959442872,1210.194323182106,,0.026206301305946783,4648.1547339428025,4652.416225627124,-2323.0773669714013,524,True,,shifted_exp,3.1126983761787415,0.01758729825628161,,,0.35608964400930254,5284.526087183957,5288.787578868279,-2641.2630435919787,524,-636.3713532411548
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep05_seed10000005.npz,100,2.5,3.0,5,10000005,com,-1,com,0.8258273959159851,0.5887842178344727,0.6741846203804016,1730,1730,True,,"Model comparison
----------------
truncated: xmin=3.94244, alpha=1.63095, xc=924.641, p=nan, KS=0.0228794, loglik=-2397.31, AIC=4796.61, BIC=4800.99
powerlaw: xmin=3.94244, alpha=1.71186, xc=nan, p=nan, KS=0.0376408, loglik=-2412.24, AIC=4826.48, BIC=4830.85
shifted_exp: xmin=3.94244, alpha=0.0255377, xc=nan, p=nan, KS=0.343052, loglik=-2735.21, AIC=5472.42, BIC=5476.8

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 29.8633 ΔBIC = 29.8633
shifted_exp: ΔAIC = 675.81 ΔBIC = 675.81
",truncated,3.9424373507499695,True,,truncated,3.9424373507499695,1.630945184550436,924.640616953373,,0.022879418809340052,4796.614591315417,4800.987911104994,-2397.3072956577084,586,True,,shifted_exp,3.9424373507499695,0.025537739235356228,,,0.34305195711465264,5472.424798431447,5476.798118221024,-2735.2123992157235,586,-675.8102071160301
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep06_seed10000006.npz,100,2.5,3.0,6,10000006,com,-1,com,0.8348710834980011,0.6049450635910034,0.7154834866523743,1679,1679,True,,"Model comparison
----------------
truncated: xmin=3.71438, alpha=1.56208, xc=1324.18, p=nan, KS=0.0295066, loglik=-2323.78, AIC=4649.56, BIC=4653.86
powerlaw: xmin=3.71438, alpha=1.64318, xc=nan, p=nan, KS=0.0578106, loglik=-2339.41, AIC=4680.82, BIC=4685.11
shifted_exp: xmin=3.71438, alpha=0.0216304, xc=nan, p=nan, KS=0.337253, loglik=-2624.68, AIC=5251.35, BIC=5255.65

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 31.2529 ΔBIC = 31.2529
shifted_exp: ΔAIC = 601.787 ΔBIC = 601.787
",truncated,3.7143784761428833,True,,truncated,3.7143784761428833,1.5620774983924564,1324.1846706867218,,0.02950661834046453,4649.563897454619,4653.861006774553,-2323.7819487273096,543,True,,shifted_exp,3.7143784761428833,0.02163038653382119,,,0.3372530280083704,5251.3505994388,5255.647708758734,-2624.6752997194,543,-601.7867019841806
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep07_seed10000007.npz,100,2.5,3.0,7,10000007,com,-1,com,0.8636147677898408,0.6348947882652283,0.7680560350418091,1583,1583,True,,"Model comparison
----------------
truncated: xmin=3.94631, alpha=1.5993, xc=1472.72, p=nan, KS=0.0248657, loglik=-2249.25, AIC=4500.49, BIC=4504.76
powerlaw: xmin=3.94631, alpha=1.66965, xc=nan, p=nan, KS=0.0482192, loglik=-2261.56, AIC=4525.12, BIC=4529.39
shifted_exp: xmin=3.94631, alpha=0.0195656, xc=nan, p=nan, KS=0.387334, loglik=-2615.01, AIC=5232.02, BIC=5236.29

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 24.6275 ΔBIC = 24.6275
shifted_exp: ΔAIC = 731.527 ΔBIC = 731.527
",truncated,3.9463082551956177,True,,truncated,3.9463082551956177,1.5992981777385717,1472.7248762249947,,0.024865721265034224,4500.491767244168,4504.764644250714,-2249.245883622084,530,True,,shifted_exp,3.9463082551956177,0.019565638792880632,,,0.3873340949289642,5232.019196520644,5236.29207352719,-2615.009598260322,530,-731.5274292764761
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep08_seed10000008.npz,100,2.5,3.0,8,10000008,com,-1,com,0.8825573801994324,0.6273010969161987,0.7460879683494568,1472,1472,True,,"Model comparison
----------------
truncated: xmin=2.98177, alpha=1.53133, xc=1575.28, p=nan, KS=0.0374792, loglik=-2537.2, AIC=5076.39, BIC=5080.79
powerlaw: xmin=2.98177, alpha=1.6062, xc=nan, p=nan, KS=0.0633982, loglik=-2554.1, AIC=5110.2, BIC=5114.6
shifted_exp: xmin=2.98177, alpha=0.0220532, xc=nan, p=nan, KS=0.349178, loglik=-2898.21, AIC=5798.41, BIC=5802.81

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 33.8125 ΔBIC = 33.8125
shifted_exp: ΔAIC = 722.022 ΔBIC = 722.022
",truncated,2.981765866279602,True,,truncated,2.981765866279602,1.531332451896616,1575.2810265421867,,0.037479174139708304,5076.390881224935,5080.7911386702435,-2537.1954406124673,602,True,,shifted_exp,2.981765866279602,0.02205323169428953,,,0.34917783362554955,5798.412535377907,5802.812792823216,-2898.2062676889536,602,-722.0216541529726
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep09_seed10000009.npz,100,2.5,3.0,9,10000009,com,-1,com,0.960535115003586,0.6857296824455261,0.839767575263977,1122,1122,True,,"Model comparison
----------------
truncated: xmin=3.20827, alpha=1.42806, xc=1186, p=nan, KS=0.039149, loglik=-2273.2, AIC=4548.41, BIC=4552.63
powerlaw: xmin=3.20827, alpha=1.54798, xc=nan, p=nan, KS=0.0812825, loglik=-2300.66, AIC=4603.31, BIC=4607.53
shifted_exp: xmin=3.20827, alpha=0.0155662, xc=nan, p=nan, KS=0.34231, loglik=-2586.49, AIC=5174.98, BIC=5179.19

ΔAIC / ΔBIC
truncated: ΔAIC = 0 ΔBIC = 0
powerlaw: ΔAIC = 54.9026 ΔBIC = 54.9026
shifted_exp: ΔAIC = 626.568 ΔBIC = 626.568
",truncated,3.2082667350769043,True,,truncated,3.2082667350769043,1.4280646087406708,1186.001863002777,,0.03914896983115079,4548.408960515559,4552.6255666166435,-2273.2044802577793,501,True,,shifted_exp,3.2082667350769043,0.01556623382530945,,,0.34230960520581255,5174.976511434652,5179.193117535737,-2586.488255717326,501,-626.5675509190933
