path,N,percept_kappa,option_kappa,rep,seed,level,individual,kind,threshold,series_mean,series_std,flight_count,n_positive_flights,comparison_ok,comparison_error,comparison_summary,best_model,fixed_xmin_for_comparison,truncated_ok,truncated_error,truncated_model,truncated_xmin,truncated_alpha,truncated_xc,truncated_p_value,truncated_ks_D,truncated_aic,truncated_bic,truncated_loglik,truncated_n_used,shifted_exp_ok,shifted_exp_error,shifted_exp_model,shifted_exp_xmin,shifted_exp_alpha,shifted_exp_xc,shifted_exp_p_value,shifted_exp_ks_D,shifted_exp_aic,shifted_exp_bic,shifted_exp_loglik,shifted_exp_n_used,delta_aic_trunc_minus_exp
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,1,milling_rad,3.4609002232551576,2.1755762100219727,1.4330090284347534,1637,1637,True,,"Model comparison
----------------
shifted_exp: xmin=3.4609, alpha=0.436968, xc=nan, p=nan, KS=0.246792, loglik=-2992.26, AIC=5986.53, BIC=5991.93
truncated: xmin=3.4609, alpha=3.58121, xc=39.1159, p=nan, KS=0.117984, loglik=-2720.91, AIC=5443.83, BIC=5449.23

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 542.703 ΔBIC = 542.703
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,3.460902452468872,True,,truncated,3.460902452468872,3.5812077349089897,39.11589169502258,,0.11798407969779512,5443.827118509254,5449.227739086626,-2720.913559254627,1637,True,,shifted_exp,3.460902452468872,0.43696794019244484,,,0.24679224194358773,5986.529703240379,5991.93032381775,-2992.2648516201893,1637,-542.7025847311243
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,1,milling_tan,5.897938346862793,4.770212650299072,1.3179014921188354,1427,1427,True,,"Model comparison
----------------
shifted_exp: xmin=6.10543, alpha=0.141715, xc=nan, p=nan, KS=0.307821, loglik=-2138.65, AIC=4279.3, BIC=4283.89
truncated: xmin=6.10543, alpha=2.51921, xc=88.9119, p=nan, KS=0.27153, loglik=-2110.2, AIC=4222.41, BIC=4226.99

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 56.8923 ΔBIC = 56.8923
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.1054301261901855,True,,truncated,6.1054301261901855,2.519214532233574,88.9119234085083,,0.27152976611270685,4222.409102580647,4226.993893973033,-2110.2045512903237,724,True,,shifted_exp,6.1054301261901855,0.14171497962504667,,,0.30782086580330603,4279.30139026601,4283.886181658395,-2138.650695133005,724,-56.892287685362135
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,1,schooling_tot,6.635640430450439,5.521003723144531,0.8927239179611206,758,758,True,,"Model comparison
----------------
shifted_exp: xmin=6.82336, alpha=0.0523937, xc=nan, p=nan, KS=0.259718, loglik=-2369.38, AIC=4740.76, BIC=4745.16
truncated: xmin=6.82336, alpha=1.87213, xc=211.847, p=nan, KS=0.211222, loglik=-2288.51, AIC=4579.02, BIC=4583.42

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 161.743 ΔBIC = 161.743
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.823362350463867,True,,truncated,6.823362350463867,1.8721259620033446,211.8472819328308,,0.21122238486957656,4579.020703524881,4583.417633180097,-2288.5103517624407,600,True,,shifted_exp,6.823362350463867,0.05239366644458434,,,0.2597183857395434,4740.763477206313,4745.160406861529,-2369.3817386031565,600,-161.74277368143157
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,8,milling_rad,3.460642313957214,2.1706860065460205,1.425299882888794,1664,1664,True,,"Model comparison
----------------
shifted_exp: xmin=3.46166, alpha=0.45437, xc=nan, p=nan, KS=0.26161, loglik=-2976.64, AIC=5955.27, BIC=5960.69
truncated: xmin=3.46166, alpha=3.64305, xc=29.9772, p=nan, KS=0.135401, loglik=-2693.31, AIC=5388.61, BIC=5394.03

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 566.659 ΔBIC = 566.659
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,3.4616565704345703,True,,truncated,3.4616565704345703,3.643054503203285,29.977200269699097,,0.13540142942234368,5388.612512304559,5394.0294919259395,-2693.3062561522793,1664,True,,shifted_exp,3.4616565704345703,0.4543698890719385,,,0.2616096907717853,5955.271763770068,5960.688743391449,-2976.635881885034,1664,-566.6592514655094
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,8,milling_tan,5.897602391242981,4.7649431228637695,1.3277441263198853,1437,1437,True,,"Model comparison
----------------
shifted_exp: xmin=6.11765, alpha=0.14351, xc=nan, p=nan, KS=0.285082, loglik=-2123.66, AIC=4249.31, BIC=4253.9
truncated: xmin=6.11765, alpha=2.3082, xc=49.5868, p=nan, KS=0.261365, loglik=-2097.92, AIC=4197.83, BIC=4202.41

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 51.4816 ΔBIC = 51.4816
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.117648124694824,True,,truncated,6.117648124694824,2.3082049091865766,49.58684682846069,,0.26136548860785486,4197.832392392853,4202.414417531746,-2097.9161961964264,722,True,,shifted_exp,6.117648124694824,0.14350962748509616,,,0.2850824349350017,4249.313956606189,4253.895981745082,-2123.6569783030945,722,-51.48156421333624
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,8,schooling_tot,6.586616182327269,5.514357566833496,0.8959935307502747,787,787,True,,"Model comparison
----------------
shifted_exp: xmin=6.79374, alpha=0.0546016, xc=nan, p=nan, KS=0.232388, loglik=-2344.61, AIC=4691.23, BIC=4695.63
truncated: xmin=6.79374, alpha=1.77551, xc=140.503, p=nan, KS=0.191881, loglik=-2275.13, AIC=4552.26, BIC=4556.66

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 138.969 ΔBIC = 138.969
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.793744087219238,True,,truncated,6.793744087219238,1.7755098957098379,140.50349712371826,,0.19188065934590698,4552.260112228625,4556.657041883841,-2275.1300561143125,600,True,,shifted_exp,6.793744087219238,0.054601646812997444,,,0.23238838498046122,4691.229482331097,4695.626411986313,-2344.6147411655484,600,-138.96937010247166
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,3,milling_rad,3.4557819247245787,2.1761908531188965,1.432276964187622,1709,1709,True,,"Model comparison
----------------
shifted_exp: xmin=3.45651, alpha=0.492823, xc=nan, p=nan, KS=0.234356, loglik=-2918.3, AIC=5838.59, BIC=5844.04
truncated: xmin=3.45651, alpha=3.78614, xc=32.38, p=nan, KS=0.115864, loglik=-2659.03, AIC=5320.07, BIC=5325.51

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 518.525 ΔBIC = 518.525
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,3.4565141201019287,True,,truncated,3.4565141201019287,3.786137669593728,32.37998652458191,,0.11586389390879293,5320.0674854519275,5325.5111491350435,-2659.0337427259637,1709,True,,shifted_exp,3.4565141201019287,0.49282326426456347,,,0.2343561934500431,5838.5927263352005,5844.0363900183165,-2918.2963631676002,1709,-518.525240883273
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,3,milling_tan,5.902981638908386,4.760388374328613,1.3273351192474365,1437,1437,True,,"Model comparison
----------------
shifted_exp: xmin=6.11707, alpha=0.143638, xc=nan, p=nan, KS=0.292071, loglik=-2125.95, AIC=4253.9, BIC=4258.49
truncated: xmin=6.11707, alpha=2.38427, xc=56.5559, p=nan, KS=0.267246, loglik=-2100.62, AIC=4203.25, BIC=4207.83

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 50.6552 ΔBIC = 50.6552
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.117074966430664,True,,truncated,6.117074966430664,2.3842728796829555,56.55592679977417,,0.26724591367515843,4203.249676101971,4207.83308532413,-2100.6248380509855,723,True,,shifted_exp,6.117074966430664,0.1436378910429205,,,0.2920711685291086,4253.904859192837,4258.488268414995,-2125.9524295964184,723,-50.65518309086565
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,3,schooling_tot,6.588854122161865,5.515743732452393,0.8870734572410583,814,814,True,,"Model comparison
----------------
shifted_exp: xmin=6.83161, alpha=0.0555183, xc=nan, p=nan, KS=0.262245, loglik=-2334.63, AIC=4671.25, BIC=4675.65
truncated: xmin=6.83161, alpha=1.80994, xc=134.635, p=nan, KS=0.209105, loglik=-2246.11, AIC=4494.23, BIC=4498.62

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 177.026 ΔBIC = 177.026
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,6.831607341766357,True,,truncated,6.831607341766357,1.8099380880639897,134.63501262664795,,0.20910477235621228,4494.2262820068645,4498.62321166208,-2246.1131410034322,600,True,,shifted_exp,6.831607341766357,0.05551826333160165,,,0.26224512486337437,4671.251891987866,4675.648821643082,-2334.625945993933,600,-177.02560998100125
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_2p5/okappa_3/pos_rep00_seed10000000.npz,100,2.5,3.0,0,10000000,individual,6,milling_rad,3.465992045402527,2.1718027591705322,1.4221982955932617,1664,1664,True,,"Model comparison
----------------
shifted_exp: xmin=3.46607, alpha=0.462174, xc=nan, p=nan, KS=0.266196, loglik=-2948.3, AIC=5898.6, BIC=5904.01
truncated: xmin=3.46607, alpha=3.71672, xc=41.3964, p=nan, KS=0.137243, loglik=-2661.68, AIC=5325.35, BIC=5330.77

ΔAIC / ΔBIC
shifted_exp: ΔAIC = 573.241 ΔBIC = 573.241
truncated: ΔAIC = 0 ΔBIC = 0
",truncated,3.466073513031006,True,,truncated,3.466073513031006,3.7167194188237667,41.396421909332275,,0.13724330357056796,5325.354434245535,5330.771413866916,-2661.6772171227676,1664,True,,shifted_exp,3.466073513031006,0.46217417151728524,,,0.26619637336466206,5898.595209253161,5904.012188874542,-2948.2976046265803,1664,-573.2407750076254
